country_code;nom_pays
4;Afghanistan
8;Albanie
12;Algérie
16;Samoa américaines
20;Andorre
24;Angola
28;Antigua-et-Barbuda
31;Azerbaïdjan
32;Argentine
36;Australie
40;Autriche
44;Bahamas
48;Bahreïn
50;Bangladesh
51;Arménie
52;Barbade
56;Belgique
60;Bermudes
64;Bhoutan
68;Bolivie (État plurinational de)
70;Bosnie-Herzégovine
72;Botswana
76;Brésil
84;Belize
86;Territoire britannique de l'océan Indien
90;Îles Salomon
92;Îles Vierges britanniques
96;Brunei
100;Bulgarie
104;Myanmar (Birmanie)
108;Burundi
112;Biélorussie
116;Cambodge
120;Cameroun
124;Canada
132;Cap-Vert
136;Îles Caîmans
140;République centrafricaine
144;Sri Lanka
148;Tchad
152;Chili
156;Chine
162;Île Christmas
166;Îles Cocos (Keeling)
170;Colombie
174;Comores
178;Congo
180;République démocratique du Congo
184;Îles Cook
188;Costa Rica
191;Croatie
192;Cuba
196;Chypre
203;Tchéquie
204;"B""nin"
208;Danemark
212;Dominique
214;"R""�""publique dominicaine"
218;Équateur
222;Salvador
226;Guinée Équatoriale
231;Éthiopie
232;Érythrée
233;Estonie
238;Îles Malouines (Falkland)
242;Fidji
246;Finlande
251;France
258;Polynésie française
260;Terres australes françaises
262;Djibouti
266;Gabon
268;Géorgie
270;Gambie
275;État de Palestine
276;Allemagne
288;Ghana
292;Gibraltar
296;Kiribati
300;Grèce
304;Groenland
308;Grenade
316;Guam
320;Guatemala
324;Guinée
328;Guyana
332;Haïti
340;Honduras
344;Chine, Région administrative spéciale de Hong Kong
348;Hongrie
352;Islande
360;Indonésie
364;Iran
368;Irak
372;Irlande
376;Israël
380;Italie
384;Côte d'Ivoire
388;Jamaïque
392;Japon
398;Kazakhstan
400;Jordanie
404;Kenya
408;République populaire démocratique de Corée
410;République de Corée
414;Koweït
417;Kirghizistan
418;République démocratique populaire lao
422;Liban
426;Lesotho
428;Lettonie
430;Libéria
434;Libye
440;Lituanie
442;Luxembourg
446;Chine, Région administrative spéciale de Macao
450;Madagascar
454;Malawi
458;Malaisie
462;Maldives
466;Mali
470;Malte
478;Mauritanie
480;Maurice
484;Mexique
490;Autres pays d'Asie, non spécifiés
496;Mongolie
498;République de Moldavie
499;Monténégro
500;Montserrat
504;Maroc
508;Mozambique
512;Oman
516;Namibie
520;Nauru
524;Népal
528;Pays-Bas
531;Curaçao
533;Aruba
534;Saint-Martin (Pays-Bas)
535;Bonaire
540;Nouvelle-Calédonie
548;Vanuatu
554;Nouvelle-Zélande
558;Nicaragua
562;Niger
566;Nigeria
570;Niue
574;Île Norfolk
579;Norvège
580;Îles Mariannes du Nord
583;États fédérés de Micronésie
584;Îles Marshall
585;Palaos
586;Pakistan
591;Panama
598;Papouasie-Nouvelle-Guinée
600;Paraguay
604;Pérou
608;Philippines
612;Îles Pitcairn
616;Pologne
620;Portugal
624;Guinée-Bissau
626;Timor oriental
634;Qatar
642;Roumanie
643;Fédération de Russie
646;Rwanda
652;Saint-Barthélemy
654;Sainte-Hélène
659;Saint-Christophe-et-Niévès
660;Anguilla
662;Sainte-Lucie
666;Saint-Pierre-et-Miquelon
670;Saint-Vincent-et-les-Grenadines
674;Saint-Marin
678;Sao Tomé-et-Principe
682;Arabie saoudite
686;Sénégal
688;Serbie
690;Seychelles
694;Sierra Leone
699;Inde
702;Singapour
703;Slovaquie
704;Vietnam
705;Slovénie
706;Somalie
710;Afrique du Sud
716;Zimbabwe
724;Espagne
728;Soudan du Sud
729;Soudan
740;Suriname
748;Eswatini
752;Suède
757;Suisse
760;Syrie
762;Tadjikistan
764;Thaïlande
768;Togo
772;Tokelau
776;Tonga
780;Trinité-et-Tobago
784;Émirats arabes unis
788;Tunisie
792;Turquie
795;Turkménistan
796;Îles Turques-et-Caïques
798;Tuvalu
800;Ouganda
804;Ukraine
807;Macédoine du Nord
818;Égypte
826;Royaume-Uni
834;République-Unie de Tanzanie
842;États-Unis
854;Burkina Faso
858;Uruguay
860;Ouzbékistan
862;Venezuela
876;Wallis-et-Futuna
882;Samoa
887;Yémen
894;Zambie
