Code HS6,Label HS6
0101,"Chevaux, ânes, mulets et bardots, vivants"
010121,Chevaux reproducteurs de race pure
010129,Chevaux vivants (à l'excl. des animaux reproducteurs de race pure)
010130,"Ânes, vivants"
010190,"Mulets et bardots, vivants"
0102,Animaux vivants de l'espèce bovine
010221,Bovins domestiques reproducteurs de race pure
010229,Bovins domestiques vivants (à l'excl. des animaux reproducteurs de race pure)
010231,Buffles reproducteurs de race pure
010239,Buffles vivants (à l'excl. des animaux reproducteurs de race pure)
010290,Animaux vivants de l'espèce bovine (à l'excl. des bovins domestiques et des buffles)
0103,Animaux vivants de l'espèce porcine
010310,Porcins reproducteurs de race pure
010391,"Porcins, vivants, d'un poids < 50 kg (à l'excl. des animaux reproducteurs de race pure)"
010392,"Porcins, vivants, d'un poids >= 50 kg (à l'excl. des animaux reproducteurs de race pure)"
0104,Animaux vivants des espèces ovine ou caprine
010410,"Ovins, vivants"
010420,"Caprins, vivants"
0105,"Coqs, poules, canards, oies, dindons, dindes et pintades [des espèces domestiques], vivants"
010511,"Coqs et poules [des espèces domestiques], vivants, d'un poids <= 185 g"
010512,"Dindes et dindons [des espèces domestiques], vivants, d'un poids <= 185 g"
010513,"Canards domestiques, vivants, d’un poids <= 185 g"
010514,"Oies domestiques, vivantes, d’un poids <= 185 g"
010515,"Pintades domestiques, vivantes, d’un poids <= 185 g"
010594,"Coqs et poules [des espèces domestiques], vivants, d'un poids > 185 g"
010599,"Canards, oies, dindons, dindes et pintades [des espèces domestiques], vivants, d'un poids > 185 g"
0106,"Animaux vivants (à l'excl. des animaux des espèces chevaline, asine, mulassière, bovine, porcine, ovine ou caprine, des coqs, poules, canards, oies, dindons, dindes et pintades [des espèces domestiques], des poissons, crustacés, mollusques et autres invertébrés aquatiques ainsi que des cultures de micro-organismes et produits simil.)"
010611,"Primates, vivants"
010612,"Baleines, dauphins et marsouins (mammifères de l'ordre des cétacés); lamantins et dugongs (mammifères de l'ordre des siréniens); otaries et phoques, lions de mer et morses (mammifères du sous-ordre des pinnipèdes), vivants"
010613,"Chameaux et autres camélidés (Camélidés), vivants"
010614,"Lapins et lièvres, vivants"
010619,"Mammifères vivants (à l’excl. des primates, des baleines, dauphins et marsouins, des lamantins et dugongs, des otaries et phoques, lions de mer et morses, des chameaux et autres camélidés, des lapins et lièvres et des animaux des espèces chevaline, asine, mulassière, bovine, porcine, ovine ou caprine)"
010620,"Reptiles [p.ex. serpents, tortues, alligators, caïmans, iguanes, gavials et lézards], vivants"
010631,"Oiseaux de proie, vivants"
010632,"Psittaciformes [y.c. les perroquets, perruches, aras et cacatoès], vivants"
010633,"Autruches, émeus (Dromaius novaehollandiae), vivants"
010639,"Oiseaux, vivants (à l’excl. des oiseaux de proie, psittaciformes, perroquets, perruches, aras, cacatoès, autruches et émeus)"
010641,"Abeilles, vivantes"
010649,"Insectes, vivants (à l'excl. des abeilles)"
010690,"Animaux, vivants (à l’excl. des mammifères, reptiles, oiseaux, insectes, poissons, crustacés, mollusques et autres invertébrés aquatiques ainsi que des cultures de micro-organismes et des produits simil.)"
0201,"Viandes des animaux de l'espèce bovine, fraîches ou réfrigérées"
020110,"Carcasses ou demi-carcasses, de bovins, fraîches ou réfrigérées"
